order,train_val_test,filename,filename_prefix,length,clips,fuel,config,cyl,turbo,misfire,loc,idle,disp,hp,make,oem
40,test,2012 Jeep Grand Cherokee Pentastar 3.6L V6 WK2 4th Generation.wav,2012JeepGrandCherokeePentastar36LV6WK24thGeneration,24.5,8,Gasoline,V,6,Normally Aspirated,Normal,Unknown,Unknown,3.6,285,Jeep,Stellantis
41,test,2012 Jeep Liberty SUV 3.7L V6.wav,2012JeepLibertySUV37LV6,34.9,11,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.7,210,Jeep,Stellantis
42,test,2012 Mazda Mazda3 - Skyactiv-G 2.0L I4.wav,2012MazdaMazda3SkyactivG20LI4,30.1,10,Gasoline,V,6,Normally Aspirated,Normal,Unknown,Unknown,3.7,210,Jeep,Stellantis
52,test,2013 Dodge Journey - Pentastar 3.6L V6.wav,2013DodgeJourneyPentastar36LV6,32.6,10,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.6,283,Dodge,Stellantis
74,test,2014 GM Chevrolet Camaro - 3.6L V6.wav,2014GMChevroletCamaro36LV6,30.4,10,Gasoline,V,6,Normally Aspirated,Normal,Unknown,Unknown,3.6,323,Chevrolet,GM
179,test,Frontier Normal 1.wav,FrontierNormal1,164.7,54,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,4.0,261,Nissan,Nissan
192,test,Kia Telluride Mark.wav,KiaTellurideMark,30.9,10,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.8,291,Kia,Hyundai
284,test,fIAT 500 - SCAPPAMENTO A 3000 GIRI.wav,fIAT500SCAPPAMENTOA3000GIRI,103.1,34,Gasoline,Inline,4,Normally Aspirated,Normal,Exhaust,Non Idle,1.2,69,Fiat,Stellantis
239,test,Panda Chiuso Folle.wav,PandaChiusoFolle,56.8,18,Gasoline,Inline,4,Normally Aspirated,Normal,Closed Hood,Idle,1.2,60,Fiat,Stellantis
253,test,"Panda,chiuso,folle.wav",Pandachiusofolle,55.9,18,Gasoline,Inline,4,Normally Aspirated,Normal,Closed Hood,Idle,1.2,69,Fiat,Stellantis
249,test,Panda Tubo Folle.wav,PandaTuboFolle,54.7,18,Gasoline,Inline,4,Normally Aspirated,Normal,Exhaust,Idle,1.2,60,Fiat,Stellantis
244,test,Panda Gabbo Folle - Cofano chiuso.wav,PandaGabboFolleCofanochiuso,38.9,12,Gasoline,Inline,4,Normally Aspirated,Normal,Closed Hood,Idle,0.9,39,Fiat,Stellantis
241,test,Panda Gabbo 3000 rpm - Cofano chiuso.wav,PandaGabbo3000rpmCofanochiuso,35.8,11,Gasoline,Inline,4,Normally Aspirated,Normal,Closed Hood,Non Idle,0.9,39,Fiat,Stellantis
14,test,2010 Ford Fusion - Duratec 25 2.5L I4 STEREO.wav,2010FordFusionDuratec2525LI4STEREO,34.4,11,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.5,175,Ford,Ford
35,test,2011 Nissan Rogue SUV - QR25DE 2.5L I4.wav,2011NissanRogueSUVQR25DE25LI4,32.9,10,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.5,150,Nissan,Nissan
60,test,2013 Mazda CX-5 SUV - 2.0L I4.wav,2013MazdaCX5SUV20LI4,30.0,10,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.0,150,Mazda,Mazda
198,test,Mazda 3 SkyActiv G165 - stock exhaust cold startup and idling 2.wav,Mazda3SkyActivG165stockexhaustcoldstartupandidling2,29.6,9,Gasoline,Inline,4,Normally Aspirated,Normal,Unknown,Unknown,2.0,163,Mazda,Mazda
83,test,2014 To 2019 Kia Soul Nu 2.0L GDI I4.wav,2014To2019KiaSoulNu20LGDII4,27.7,9,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.0,164,Kia,Hyundai
32,test,2011 Hyundai Elantra 1.8L Nu MPI I4.wav,2011HyundaiElantra18LNuMPII4,27.6,9,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,1.8,150,Hyundai,Hyundai
84,test,2014-2018 Jeep Cherokee 2.4L I4.wav,20142018JeepCherokee24LI4,25.6,8,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.4,184,Jeep,Stellantis
76,test,2014 Hyundai Tucson SUV - Theta II 2.4L I4.wav,2014HyundaiTucsonSUVThetaII24LI4,24.5,8,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.4,182,Hyundai,Hyundai
48,test,2012-2016 Toyota Yaris 1NZ-FE 1.5L I4.wav,20122016ToyotaYaris1NZFE15LI4,22.3,7,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,1.5,110,Toyota,Toyota
255,test,"Panda,scappamento,folle.wav",Pandascappamentofolle,14.3,4,Gasoline,Inline,4,Normally Aspirated,Normal,Exhaust,Idle,1.2,69,Fiat,Stellantis
279,val,Veloster I4 Normal 1.wav,VelosterI4Normal1,369.9,123,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,1.6,138,Hyundai,Hyundai
7,val,2001-2006 Acura MDX 3.5L V6 VTEC.wav,20012006AcuraMDX35LV6VTEC,25.8,8,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.5,290,Acura,Honda
8,val,2005-2010 Honda Odyssey Minivan 3.5L V6.wav,20052010HondaOdysseyMinivan35LV6,29.8,9,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.5,244,Honda,Honda
9,val,2005-2015 Toyota Tacoma 1GR-FE 4.0L V6 STEREO.wav,20052015ToyotaTacoma1GRFE40LV6STEREO,28.1,9,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,4.0,290,Toyota,Toyota
10,val,2005-2016 Nissan Frontier VQ40DE 4.0L V6 STEREO.wav,20052016NissanFrontierVQ40DE40LV6STEREO,25.4,8,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,4.0,280,Nissan,Nissan
12,val,2008 Mercedes Benz ML 350- 3.5L V6 Engine STEREO.wav,2008MercedesBenzML35035LV6EngineSTEREO,10.2,3,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.5,270,Mercedes,Daimler
17,val,2010-2016 Toyota 4Runner SUV - 1GR-FE 4.0L V6 1.wav,20102016Toyota4RunnerSUV1GRFE40LV61,6.1,2,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,4.0,239,Toyota,Toyota
18,val,2010-2016 Toyota 4Runner SUV - 1GR-FE 4.0L V6 4.wav,20102016Toyota4RunnerSUV1GRFE40LV64,3.5,1,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,4.0,239,Toyota,Toyota
19,val,2010-Dodge-Charger-SXT-3-5-L-V6.wav,2010DodgeChargerSXT35LV6,22.7,7,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.5,250,Dodge,Stellantis
33,val,2011 Mazda CX-9 MZI 3.7L V6 1.wav,2011MazdaCX9MZI37LV61,23.7,7,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.7,290,Mazda,Mazda
34,val,2011 Mazda CX-9 MZI 3.7L V6 2.wav,2011MazdaCX9MZI37LV62,7.3,2,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.7,290,Mazda,Mazda
36,val,2011-2017 Chrysler 300 Sedan - Pentastar 3.6L V6.wav,20112017Chrysler300SedanPentastar36LV6,28.7,9,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.6,290,Chrysler,Stellantis
45,val,2012 Toyota Sienna 3.5L V6 2GR-F.wav,2012ToyotaSienna35LV62GRF,23.1,7,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.5,300,Toyota,Toyota
47,val,2012-2016 Buick LaCrosse LFX 3.6L V6.wav,20122016BuickLaCrosseLFX36LV6,30.0,10,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.6,303,Buick,GM
53,val,2013 Ford Taurus Limited Sedan - Duratec 35 3.5L V6.wav,2013FordTaurusLimitedSedanDuratec3535LV6,26.4,8,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.5,290,Ford,Ford
62,val,2013 Toyota Highlander Engine Idling After Oil Change - 2GR-FE 3.5L V6.wav,2013ToyotaHighlanderEngineIdlingAfterOilChange2GRFE35LV6,30.4,10,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.5,270,Toyota,Toyota
66,val,2013-2016 GMC Terrain LFX 3.6L V6.wav,20132016GMCTerrainLFX36LV6,26.1,8,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.6,301,GMC,GM
67,val,2013-2016 Nissan Pathfinder VQ35DE 3.5L V6.wav,20132016NissanPathfinderVQ35DE35LV6,19.1,6,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.5,260,Nissan,Nissan
68,val,2013-2017 Toyota Avalon 2GR-FE 3.5L V6.wav,20132017ToyotaAvalon2GRFE35LV6,23.5,7,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.5,268,Toyota,Toyota
69,val,2014 Dodge Charger Sedan - Pentastar 3.6L V6.wav,2014DodgeChargerSedanPentastar36LV6,28.9,9,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.6,292,Dodge,Stellantis
70,val,2014 Dodge Durango SUV - Pentastar 3.6L V6 2.wav,2014DodgeDurangoSUVPentastar36LV62,22.8,7,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.6,290,Dodge,Stellantis
46,test,2012 VW Jetta 2.5L I5.wav,2012VWJetta25LI5,27.7,9,Gasoline,Inline,5,Normally Aspirated,Normal,Unknown,Unknown,2.5,175,VW,VW
71,val,2014 Dodge Durango SUV - Pentastar 3.6L V6.wav,2014DodgeDurangoSUVPentastar36LV6,4.2,1,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.6,290,Dodge,Stellantis
72,val,2014 Ford Explorer SUV - Duratec 35 3.5L V6.wav,2014FordExplorerSUVDuratec3535LV6,30.1,10,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.5,290,Ford,Ford
82,val,2014 Nissan Murano SUV - Engine Idling V6.wav,2014NissanMuranoSUVEngineIdlingV6,18.3,6,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.5,260,Nissan,Nissan
90,val,2014-2018 Toyota Highlander SUV 3.5L V6.wav,20142018ToyotaHighlanderSUV35LV6,24.8,8,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.5,270,Toyota,Toyota
91,val,2015 Dodge Challenger Pentastar 3.6L V6 2.wav,2015DodgeChallengerPentastar36LV62,23.9,7,Gasoline,V,6,Normally Aspirated,Normal,Unknown,Unknown,3.6,305,Dodge,Stellantis
92,val,2015 Dodge Challenger Pentastar 3.6L V6.wav,2015DodgeChallengerPentastar36LV6,3.4,1,Gasoline,V,6,Normally Aspirated,Normal,Unknown,Unknown,3.6,305,Dodge,Stellantis
95,val,2015 To 2019 GM Chevrolet Colorado Truck - 3.6L V6.wav,2015To2019GMChevroletColoradoTruck36LV6,24.2,8,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.6,305,Chevrolet,GM
103,val,2015-2018 Nissan Murano VQ35DE 3.5L V6.wav,20152018NissanMuranoVQ35DE35LV6,22.9,7,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.5,260,Nissan,Nissan
107,val,2016-2018 Nissan Maxima VQ35DE 3.5L V6 Engine.wav,20162018NissanMaximaVQ35DE35LV6Engine,22.9,7,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.5,300,Nissan,Nissan
112,val,2017 Chrysler Pacifica Minivan - Pentastar 3.6L V6.wav,2017ChryslerPacificaMinivanPentastar36LV6,29.8,9,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.6,287,Chrysler,Stellantis
117,val,2019 Ford Flex Duratec 35 3.5L V6.wav,2019FordFlexDuratec3535LV6,23.4,7,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.5,290,Ford,Ford
164,val,Dodge Grand Caravan Owen.wav,DodgeGrandCaravanOwen,130.4,43,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.8,215,Dodge,Stellantis
166,val,Enclave.wav,Enclave,130.8,43,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.6,275,Buick,GM
187,val,Honda Pilot Owen.wav,HondaPilotOwen,130.4,43,Gasoline,V,6,Normally Aspirated,Normal,Open Hood,Idle,3.5,250,Honda,Honda
220,val,Optima Normal 1.wav,OptimaNormal1,304.8,101,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.4,200,Kia,Hyundai
231,val,OUTSAMPLE Regal Idle Normal 6.wav,OUTSAMPLERegalIdleNormal6,200.2,66,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.0,260,Buick,GM
172,val,Focus Normal 1.wav,FocusNormal1,151.6,50,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.0,160,Ford,Ford
199,val,Mazda 3 SkyActiv G165 - stock exhaust.wav,Mazda3SkyActivG165stockexhaust,144.0,47,Gasoline,Inline,4,Normally Aspirated,Normal,Unknown,Idle,2.0,163,Mazda,Mazda
213,val,Nissan Micra 1.wav,NissanMicra1,135.0,44,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,1.0,60,Nissan,Nissan
280,val,VW Passat 1.wav,VWPassat1,132.7,44,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.0,131,VW,VW
176,val,Ford Fusion Owen.wav,FordFusionOwen,130.5,43,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.5,175,Ford,Ford
276,val,Toyota Camry Owen.wav,ToyotaCamryOwen,130.4,43,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.4,258,Toyota,Toyota
269,val,Sentra Normal 1.wav,SentraNormal1,125.2,41,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,Unknown,Unknown,Nissan,Nissan
162,val,Corolla Normal Defrost.wav,CorollaNormalDefrost,124.1,41,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,Unknown,Unknown,Toyota,Toyota
163,val,Corolla Normal No Defrost.wav,CorollaNormalNoDefrost,123.3,41,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,Unknown,Unknown,Toyota,Toyota
221,val,Optima Normal 2.wav,OptimaNormal2,122.7,40,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.4,200,Kia,Hyundai
144,val,Camry Normal 1.wav,CamryNormal1,121.9,40,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,Unknown,Unknown,Toyota,Toyota
229,val,OUTSAMPLE Nissan Versa Note Normal 1.wav,OUTSAMPLENissanVersaNoteNormal1,121.9,40,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,Unknown,Unknown,Nissan,Nissan
275,val,Sonata I4 24l Normal 1.wav,SonataI424lNormal1,121.8,40,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.4,177,Hyundai,Hyundai
226,val,OUTSAMPLE Corolla 2 Normal 1.wav,OUTSAMPLECorolla2Normal1,121.2,40,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,Unknown,Unknown,Toyota,Toyota
214,val,Nissan Rogue Mark.wav,NissanRogueMark,121.1,40,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.5,170,Nissan,Nissan
282,val,fIAT 500 - FUORI COFANO IN FOLLE.wav,fIAT500FUORICOFANOINFOLLE,114.9,38,Gasoline,Inline,4,Normally Aspirated,Normal,Closed Hood,Idle,1.2,69,Fiat,Stellantis
286,val,fIAT 500 - VICINO MOTORE IN FOLLE.wav,fIAT500VICINOMOTOREINFOLLE,112.5,37,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,1.2,69,Fiat,Stellantis
168,val,Fiat 500 cofano aperto .wav,Fiat500cofanoaperto,112.1,37,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,1.2,73,Fiat,Stellantis
170,val,Fiat 500 tubo di scappamento .wav,Fiat500tubodiscappamento,110.5,36,Gasoline,Inline,4,Normally Aspirated,Normal,Exhaust,Idle,1.2,73,Fiat,Stellantis
281,val,fIAT 500 - FUORI COFANO A 3000 GIRI.wav,fIAT500FUORICOFANOA3000GIRI,103.9,34,Gasoline,Inline,4,Normally Aspirated,Normal,Closed Hood,Non Idle,1.2,69,Fiat,Stellantis
285,val,fIAT 500 - VICINO MOTORE A 3000 GIRI.wav,fIAT500VICINOMOTOREA3000GIRI,103.6,34,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Non Idle,1.2,69,Fiat,Stellantis
169,val,Fiat 500 sul cofano.wav,Fiat500sulcofano,89.2,29,Gasoline,Inline,4,Normally Aspirated,Normal,Closed Hood,Idle,1.2,73,Fiat,Stellantis
222,val,Optima Normal 3.wav,OptimaNormal3,62.4,20,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.4,200,Kia,Hyundai
236,val,Panda Aperto Folle.wav,PandaApertoFolle,60.1,20,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,1.2,60,Fiat,Stellantis
235,val,Panda Aperto 3000.wav,PandaAperto3000,56.1,18,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Non Idle,1.2,60,Fiat,Stellantis
238,val,Panda Chiuso 3000.wav,PandaChiuso3000,55.4,18,Gasoline,Inline,4,Normally Aspirated,Normal,Closed Hood,Non Idle,1.2,60,Fiat,Stellantis
251,val,"Panda,aperto,folle.wav",Pandaapertofolle,53.8,17,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,1.2,69,Fiat,Stellantis
248,val,Panda Tubo 3000.wav,PandaTubo3000,52.3,17,Gasoline,Inline,4,Normally Aspirated,Normal,Exhaust,Non Idle,1.2,60,Fiat,Stellantis
184,val,Getz Gabbo Folle - Cofano aperto.wav,GetzGabboFolleCofanoaperto,52.2,17,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,1.1,63,Hyundai,Hyundai
242,val,Panda Gabbo 3000 rpm - Marmitta.wav,PandaGabbo3000rpmMarmitta,46.1,15,Gasoline,Inline,4,Normally Aspirated,Normal,Exhaust,Non Idle,0.9,39,Fiat,Stellantis
283,val,fIAT 500 - SCAPPAMENTO  IN FOLLE.wav,fIAT500SCAPPAMENTOINFOLLE,44.9,14,Gasoline,Inline,4,Normally Aspirated,Normal,Exhaust,Idle,1.2,69,Fiat,Stellantis
183,val,Getz Gabbo 3000 rpm - Marmitta.wav,GetzGabbo3000rpmMarmitta,44.6,14,Gasoline,Inline,4,Normally Aspirated,Normal,Unknown,Non Idle,1.1,63,Hyundai,Hyundai
185,val,Getz Gabbo Folle - Cofano chiuso.wav,GetzGabboFolleCofanochiuso,43.8,14,Gasoline,Inline,4,Normally Aspirated,Normal,Closed Hood,Idle,1.1,63,Hyundai,Hyundai
243,val,Panda Gabbo Folle - Cofano aperto.wav,PandaGabboFolleCofanoaperto,42.3,14,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,0.9,39,Fiat,Stellantis
240,val,Panda Gabbo 3000 rpm - Cofano aperta.wav,PandaGabbo3000rpmCofanoaperta,41.9,13,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Non Idle,0.9,39,Fiat,Stellantis
182,val,Getz Gabbo 3000 rpm - Cofano chiuso.wav,GetzGabbo3000rpmCofanochiuso,41.6,13,Gasoline,Inline,4,Normally Aspirated,Normal,Closed Hood,Non Idle,1.1,63,Hyundai,Hyundai
181,val,Getz Gabbo 3000 rpm - Cofano aperto.wav,GetzGabbo3000rpmCofanoaperto,41.3,13,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Non Idle,1.1,63,Hyundai,Hyundai
113,val,2017 Kia Optima GDI.wav,2017KiaOptimaGDI,39.9,13,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,Unknown,Unknown,Kia,Hyundai
186,val,Getz Gabbo Folle - Marmitta.wav,GetzGabboFolleMarmitta,37.8,12,Gasoline,Inline,4,Normally Aspirated,Normal,Unknown,Idle,1.1,63,Hyundai,Hyundai
245,val,Panda Gabbo Folle - Marmitta.wav,PandaGabboFolleMarmitta,36.9,12,Gasoline,Inline,4,Normally Aspirated,Normal,Exhaust,Idle,0.9,39,Fiat,Stellantis
89,val,2014-2018 Toyota Corolla 2ZR-FE 1.8L I4.wav,20142018ToyotaCorolla2ZRFE18LI4,36.7,12,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,1.8,132,Toyota,Toyota
78,val,2014 Kia Sorento SUV Theta II 2.4L I4.wav,2014KiaSorentoSUVThetaII24LI4,29.8,9,Gasoline,Inline,4,Normally Aspirated,Normal,Unknown,Unknown,2.4,191,Kia,Hyundai
61,val,2013 Toyota Camry LE - 2AR-FE 2.5L I4.wav,2013ToyotaCamryLE2ARFE25LI4,29.7,9,Gasoline,Inline,4,Normally Aspirated,Normal,Unknown,Unknown,2.5,178,Toyota,Toyota
63,val,2013 Toyota RAV4 SUV 2AR-FE 2.5L I4.wav,2013ToyotaRAV4SUV2ARFE25LI4,29.4,9,Gasoline,Inline,4,Normally Aspirated,Normal,Unknown,Unknown,2.5,176,Toyota,Toyota
115,val,2018-2022 Toyota Camry 2.5L I4.wav,20182022ToyotaCamry25LI4,29.1,9,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.5,203,Toyota,Toyota
85,val,2014-2018 Mazda Mazda6 - SkyActiv 2.5L I4.wav,20142018MazdaMazda6SkyActiv25LI4,28.7,9,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.5,184,Mazda,Mazda
57,val,2013 Hyundai Accent - Gamma GDI 1.6L I4 1.wav,2013HyundaiAccentGammaGDI16LI41,26.7,8,Gasoline,Inline,4,Normally Aspirated,Normal,Unknown,Unknown,1.6,138,Hyundai,Hyundai
44,val,2012 Toyota Prius Hybrid Hatchback Test Drive - 1.8L.wav,2012ToyotaPriusHybridHatchbackTestDrive18L,24.6,8,Gasoline,Inline,4,Normally Aspirated,Normal,Unknown,Unknown,Unknown,98,Toyota,Toyota
101,val,2015-2018 Jeep Renegade SUV - Tigershark 2.4L I4 2.wav,20152018JeepRenegadeSUVTigershark24LI42,24.3,8,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.4,180,Jeep,Stellantis
51,val,2013 Chrysler 200 - 2.4L I4.wav,2013Chrysler20024LI4,23.7,7,Gasoline,Inline,4,Normally Aspirated,Normal,Unknown,Unknown,2.4,173,Chrysler,Stellantis
203,val,Mazda3_Normal2.wav,Mazda3Normal2,22.7,7,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,Unknown,Unknown,Mazda,Mazda
77,val,2014 Kia Rio Gamma 1.6L I4 GDI.wav,2014KiaRioGamma16LI4GDI,21.8,7,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,1.6,138,Kia,Hyundai
15,val,2010 GM Chevrolet Cobalt 2.2L.wav,2010GMChevroletCobalt22L,21.0,6,Gasoline,Inline,4,Normally Aspirated,Normal,Unknown,Unknown,2.2,155,Chevrolet,GM
56,val,2013 GM Chevrolet Sonic Sedan - Ecotec A18XER 1.8L.wav,2013GMChevroletSonicSedanEcotecA18XER18L,20.4,6,Gasoline,Inline,4,Normally Aspirated,Normal,Unknown,Unknown,1.8,138,Chevrolet,GM
16,val,2010 Toyota Camry SE 2.5L I4 STEREO.wav,2010ToyotaCamrySE25LI4STEREO,20.3,6,Gasoline,Inline,4,Normally Aspirated,Normal,Unknown,Unknown,2.5,179,Toyota,Toyota
64,val,2013-2016 Dodge Dart Tigershark 2.0L I4.wav,20132016DodgeDartTigershark20LI4,18.6,6,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.0,160,Dodge,Stellantis
59,val,2013 Hyundai Accent - Gamma GDI 1.6L I4 3.wav,2013HyundaiAccentGammaGDI16LI43,18.1,6,Gasoline,Inline,4,Normally Aspirated,Normal,Unknown,Unknown,1.6,138,Hyundai,Hyundai
202,val,Mazda3_Normal1.wav,Mazda3Normal1,14.1,4,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,Unknown,Unknown,Mazda,Mazda
37,val,2011-2017 Mitsubishi Outlander Sport MIVEC 2.0L I4 1.wav,20112017MitsubishiOutlanderSportMIVEC20LI41,13.7,4,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,2.0,150,Mitsubishi,Mitsubishi
201,val,Mazda3_Normal_Talking.wav,Mazda3NormalTalking,12.2,4,Gasoline,Inline,4,Normally Aspirated,Normal,Open Hood,Idle,Unknown,Unknown,Mazda,Mazda
252,val,"Panda,chiuso,3000.wav",Pandachiuso3000,10.9,3,Gasoline,Inline,4,Normally Aspirated,Normal,Closed Hood,Non Idle,1.2,69,Fiat,Stellantis
